datetime,LAC_1_temp,LAC_1_humidity,LAC_1_windspeed,LAC_1_conditions
2016-09-10,18.7,42.4,18.4,0
2016-09-11,19.2,35.5,20.5,0
2016-09-12,24.7,41.3,23.6,2
2016-09-13,17.8,40.2,32.7,2
2016-09-14,14.0,47.3,24.1,2
2016-09-15,15.1,46.8,19.6,0
2016-09-16,17.8,46.5,16.6,0
2016-09-17,20.5,43.7,16.6,0
2016-09-18,21.1,42.8,26.7,2
2016-09-19,17.3,56.0,26.4,1
2016-09-20,16.7,61.1,15.6,2
2016-09-21,19.4,51.9,16.9,0
2016-09-22,22.0,45.2,15.3,3
2016-09-23,16.3,72.7,17.4,4
2016-09-24,13.2,67.7,16.1,1
2016-09-25,14.1,69.4,14.3,2
2016-09-26,17.8,63.3,17.1,0
2016-09-27,21.8,54.2,20.5,0
2016-09-28,24.8,46.6,18.7,2
2016-09-29,25.0,46.3,23.4,2
2016-09-30,22.5,51.6,19.6,2
2016-10-01,21.2,58.6,19.2,2
2016-10-02,21.3,70.7,15.3,5
2016-10-03,20.9,62.4,28.8,5
2016-10-04,19.7,73.0,19.2,5
2016-10-05,18.3,54.7,33.3,5
2016-10-06,17.1,51.8,16.3,0
2016-10-07,19.6,45.6,25.9,2
2016-10-08,17.5,61.7,23.7,1
2016-10-09,15.8,62.7,28.1,2
2016-10-10,18.2,63.6,15.8,2
2016-10-11,21.0,46.7,20.9,2
2016-10-12,25.7,47.7,13.5,0
2016-10-13,24.2,54.5,24.1,5
2016-10-14,22.0,70.4,18.4,5
2016-10-15,22.9,51.9,18.4,2
