idx,headline,date,source
273,Samsung factory fire caused by faulty batteries,2017-02-08T16:31:21Z,The Guardian
274,Dyson: industry experts cast doubt on electric car project,2017-09-29T10:02:39Z,The Guardian
275,Google enters race for nuclear fusion technology,2017-07-25T15:38:34Z,The Guardian
276,Nissan launches British-made home battery to rival Tesla's Powerwall,2017-05-04T09:00:05Z,The Guardian
277,The Menindee Lakes project: who loses and who really wins?,2018-04-10T18:00:35Z,The Guardian
278,Retro-electric: making petrol-guzzling cars eco-friendly,2016-10-23T07:00:39Z,The Guardian
279,Eco startups in Trump's America: 'Fake news could hit investment',2017-06-28T06:00:12Z,The Guardian
280,Energy Australia boss says she fears bill shock for customers after heatwave,2017-02-14T00:54:06Z,The Guardian
281,Calls for lithium battery review after Boeing Dreamliner fire at Heathrow,2015-08-19T09:00:01Z,The Guardian
282,Charging ahead: Welsh battery scheme may aid growth of green energy,2017-05-21T10:21:59Z,The Guardian
283,Amazon UK found guilty of trying to airmail dangerous goods,2016-09-23T16:21:25Z,The Guardian
284,Switch to electric vehicles will not be enough to give us clean air | Letters,2017-07-27T17:35:34Z,The Guardian
285,Samsung software update will disable Galaxy Note 7 phones completely,2016-12-09T19:44:58Z,The Guardian
286,Sony comes back from the brink,2017-11-04T16:00:07Z,The Guardian
287,Huge profits in store for firm that can make a great leap in battery technology,2016-05-21T15:00:16Z,The Guardian
288,Experts criticize US electronic devices ban on some flights from Middle East,2017-03-21T13:15:48Z,The Guardian
289,The view from Middletown: Muncie's forgotten factories,2016-10-25T11:46:43Z,The Guardian
